method,gap_ms,error_type,position_bin,position_low,position_high,position_definition,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
temporal_self_cross_attention,160,frequency,7,0.7,0.8,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.28649046091651,0.7205851951362243,0.3538280843915418,128000,39005.70718731397,0.5596190866717581,0.253406112129707
temporal_self_cross_attention,160,frequency,8,0.8,0.9,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.09319412572623,0.7172115376551154,0.35174464068654926,256000,76459.15425992104,0.5598659162844221,0.25365339792076796
temporal_self_cross_attention,160,frequency,9,0.9,1.0,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.00125570491747,0.7156069095029184,0.35093447450804527,256000,75697.23727607235,0.5597137573526481,0.25149009599546146
temporal_self_cross_attention,160,temporal,0,0.0,0.1,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.55299417504703,1.5629946033738737,0.9943635361542247,256486,73594.16463273432,1.5289370263862003,0.9731010731476301
temporal_self_cross_attention,160,temporal,1,0.1,0.2,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.1517576919897,1.555991705665401,0.9891576879010591,257000,72471.7904182302,1.4899406330427032,0.9447753325350072
temporal_self_cross_attention,160,temporal,2,0.2,0.3,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.03394686681733,1.5539355188716517,0.9878156231651046,128500,36114.82803923047,1.4853282075718963,0.9388608797037025
temporal_self_cross_attention,160,temporal,3,0.3,0.4,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.51179678882107,1.5622755733410152,0.994176175898847,257000,73511.20537810799,1.495044757215651,0.9462483412398804
temporal_self_cross_attention,160,temporal,4,0.4,0.5,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.69373946156425,1.5654510720302621,0.9962280853662046,128500,37970.18960222593,1.507866141181466,0.9587004059820537
temporal_self_cross_attention,160,temporal,5,0.5,0.6,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.54205075111233,1.5628036045947715,0.9944261138049545,257000,76392.75094033458,1.5158671319972497,0.9655995266562054
temporal_self_cross_attention,160,temporal,6,0.6,0.7,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.48214729087968,1.5617580919803746,0.9936693401902567,128500,38250.01031775196,1.5413544748675492,0.9837868195788759
temporal_self_cross_attention,160,temporal,7,0.7,0.8,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.35324157840934,1.559508262873138,0.9920849722718914,257000,78359.67489116189,1.529486492122565,0.9748537030368689
temporal_self_cross_attention,160,temporal,8,0.8,0.9,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.18976557954056,1.5566550684448914,0.9896132286448424,128500,38847.89614991819,1.51498025306122,0.9628744112482643
temporal_self_cross_attention,160,temporal,9,0.9,1.0,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.39876766964359,1.5603028430607389,0.9923899791905543,385500,114728.32791274169,1.5355248309677876,0.9776359726728634
temporal_self_cross_attention,160,unit,0,0.0,0.1,0=first missing frame/left boundary; 1=last missing frame/right boundary,90.04168137870602,1.5715238040900872,1.0006969647674244,257000,73411.14859028636,1.5727243845590795,1.0027783876844316
temporal_self_cross_attention,160,unit,1,0.1,0.2,0=first missing frame/left boundary; 1=last missing frame/right boundary,90.09669707040145,1.5724840090504344,1.0012671505797235,128500,36175.992218669766,1.5824711450888855,1.0094194272290433
temporal_self_cross_attention,160,unit,2,0.2,0.3,0=first missing frame/left boundary; 1=last missing frame/right boundary,90.01906867418127,1.5711291379433499,1.0003346896489307,257000,72229.6561003149,1.5810864799688837,1.0067900082940862
